date,IT Dep.,CostElement,Country,Budget
22-02-2020,Administration,Outbound Allocations,United Kingdom,12602
12-03-2020,Administration,Outbound Allocations,United Kingdom,34605
20-04-2020,Administration,Outbound Allocations,United Kingdom,14245
14-05-2020,Administration,Outbound Allocations,United Kingdom,38099
07-06-2020,Administration,Outbound Allocations,United Kingdom,20418
25-07-2020,Administration,Outbound Allocations,United Kingdom,38886
09-08-2020,Administration,Outbound Allocations,United Kingdom,6292
13-09-2020,Administration,Outbound Allocations,United Kingdom,34637
25-10-2020,Administration,Outbound Allocations,United Kingdom,16591
08-11-2020,Administration,Outbound Allocations,United Kingdom,20686
28-12-2020,Administration,Outbound Allocations,United Kingdom,14457
14-01-2020,Administration,Recognition,USA,36901
20-02-2020,Administration,Recognition,USA,23150
05-03-2020,Administration,Recognition,USA,34102
27-04-2020,Administration,Recognition,USA,40022
10-05-2020,Administration,Recognition,USA,37874
06-06-2020,Administration,Recognition,USA,19509
25-07-2020,Administration,Recognition,USA,39389
14-08-2020,Administration,Recognition,USA,28732
11-09-2020,Administration,Recognition,USA,26200
28-10-2020,Administration,Recognition,USA,1994
10-11-2020,Administration,Recognition,USA,34785
17-12-2020,Administration,Recognition,USA,5475
06-01-2020,Administration,Supplies,USA,7522
15-02-2020,Administration,Supplies,USA,2925
24-03-2020,Administration,Supplies,USA,9672
22-04-2020,Administration,Supplies,USA,36414
08-05-2020,Administration,Supplies,USA,17240
11-06-2020,Administration,Supplies,USA,35190
23-07-2020,Administration,Supplies,USA,15732
11-08-2020,Administration,Supplies,USA,36832
27-09-2020,Administration,Supplies,USA,3309
18-10-2020,Administration,Supplies,USA,14519
23-11-2020,Administration,Supplies,USA,8652
09-12-2020,Administration,Supplies,USA,10887
25-01-2020,Administration,Telecomm,USA,"10,631"
27-02-2020,Administration,Telecomm,USA,"7,014"
14-03-2020,Administration,Telecomm,USA,"29,196"
19-04-2020,Administration,Telecomm,USA,"23,848"
08-05-2020,Administration,Telecomm,USA,"28,473"
18-06-2020,Administration,Telecomm,USA,"29,188"
05-07-2020,Administration,Telecomm,USA,"9,472"
06-08-2020,Administration,Telecomm,USA,"32,065"
14-09-2020,Administration,Telecomm,USA,"28,221"
05-10-2020,Administration,Telecomm,USA,"41,034"
23-11-2020,Administration,Telecomm,USA,"29,997"
13-12-2020,Administration,Telecomm,USA,"34,383"
21-03-2020,Administration,Training,USA,"3,643"
12-04-2020,Administration,Training,USA,"40,787"
27-05-2020,Administration,Training,USA,"15,139"
16-06-2020,Administration,Training,USA,"35,837"
05-07-2020,Administration,Training,USA,"30,016"
08-08-2020,Administration,Training,USA,"3,446"
07-09-2020,Administration,Training,USA,"26,358"
27-10-2020,Administration,Training,USA,"35,345"
14-03-2020,Administration,Travel,USA,"24,977"
28-06-2020,Administration,Travel,USA,"20,428"
26-09-2020,Administration,Travel,USA,"25,929"
12-12-2020,Administration,Travel,USA,"47,718"
03-01-2020,Architecture,Depreciation,USA,4095
11-02-2020,Architecture,Depreciation,USA,1992
23-03-2020,Architecture,Depreciation,USA,7956
14-04-2020,Architecture,Depreciation,USA,24257
13-05-2020,Architecture,Depreciation,USA,25978
04-06-2020,Architecture,Depreciation,USA,27088
09-07-2020,Architecture,Depreciation,USA,17691
08-08-2020,Architecture,Depreciation,USA,1828
09-09-2020,Architecture,Depreciation,USA,37891
13-10-2020,Architecture,Depreciation,USA,7758
04-11-2020,Architecture,Depreciation,USA,23750
02-12-2020,Architecture,Depreciation,USA,1790
11-01-2020,Architecture,Employee Performance,USA,27945
09-02-2020,Architecture,Employee Performance,USA,6598
27-03-2020,Architecture,Employee Performance,USA,2617
19-04-2020,Architecture,Employee Performance,USA,24724
25-05-2020,Architecture,Employee Performance,USA,27177
08-06-2020,Architecture,Employee Performance,USA,13960
10-07-2020,Architecture,Employee Performance,USA,21951
15-08-2020,Architecture,Employee Performance,USA,227
08-09-2020,Architecture,Employee Performance,USA,39808
23-10-2020,Architecture,Employee Performance,USA,20943
07-11-2020,Architecture,Employee Performance,USA,29771
09-12-2020,Architecture,Employee Performance,USA,39192
21-01-2020,Architecture,External Labor,USA,"23,598"
16-02-2020,Architecture,External Labor,USA,"36,908"
22-03-2020,Architecture,External Labor,USA,"8,869"
16-04-2020,Architecture,External Labor,USA,"21,098"
26-05-2020,Architecture,External Labor,USA,"19,547"
07-06-2020,Architecture,External Labor,USA,"20,755"
21-07-2020,Architecture,External Labor,USA,"18,867"
06-08-2020,Architecture,External Labor,USA,"34,036"
08-09-2020,Architecture,External Labor,USA,"15,853"
27-10-2020,Architecture,External Labor,USA,"13,473"
13-11-2020,Architecture,External Labor,USA,"21,283"
17-12-2020,Architecture,External Labor,USA,"37,503"
24-01-2020,Architecture,Hardware,USA,"33,972"
03-02-2020,Architecture,Hardware,USA,"18,156"
22-03-2020,Architecture,Hardware,USA,"26,492"
07-04-2020,Architecture,Hardware,USA,"19,432"
09-05-2020,Architecture,Hardware,USA,"7,019"
16-06-2020,Architecture,Hardware,USA,"2,014"
18-07-2020,Architecture,Hardware,USA,"5,724"
14-08-2020,Architecture,Hardware,USA,"12,569"
19-09-2020,Architecture,Hardware,USA,"7,155"
22-10-2020,Architecture,Hardware,USA,"1,245"
25-11-2020,Architecture,Hardware,USA,"32,455"
10-12-2020,Architecture,Hardware,USA,"11,122"
25-01-2020,Architecture,Hardware Maintenance,USA,36656
22-02-2020,Architecture,Hardware Maintenance,USA,39589
20-03-2020,Architecture,Hardware Maintenance,USA,4999
04-04-2020,Architecture,Hardware Maintenance,USA,33418
21-05-2020,Architecture,Hardware Maintenance,USA,19809
01-06-2020,Architecture,Hardware Maintenance,USA,39252
21-07-2020,Architecture,Hardware Maintenance,USA,24084
21-08-2020,Architecture,Hardware Maintenance,USA,37673
12-09-2020,Architecture,Hardware Maintenance,USA,37853
15-10-2020,Architecture,Hardware Maintenance,USA,16982
09-11-2020,Architecture,Hardware Maintenance,USA,33051
24-12-2020,Architecture,Hardware Maintenance,USA,27998
05-01-2020,Architecture,Internal Labor,USA,"49,105"
25-02-2020,Architecture,Internal Labor,USA,"53,309"
20-03-2020,Architecture,Internal Labor,USA,"83,763"
05-04-2020,Architecture,Internal Labor,USA,"60,078"
15-05-2020,Architecture,Internal Labor,USA,"49,362"
16-06-2020,Architecture,Internal Labor,USA,"74,188"
13-07-2020,Architecture,Internal Labor,USA,"49,375"
10-08-2020,Architecture,Internal Labor,USA,"73,793"
18-09-2020,Architecture,Internal Labor,USA,"61,218"
27-10-2020,Architecture,Internal Labor,USA,"69,509"
13-11-2020,Architecture,Internal Labor,USA,"77,045"
05-12-2020,Architecture,Internal Labor,USA,"80,384"
01-01-2020,Architecture,Other,USA,9614
26-02-2020,Architecture,Other,USA,13594
28-03-2020,Architecture,Other,USA,"44,526"
13-04-2020,Architecture,Other,USA,15183
19-05-2020,Architecture,Other,USA,7404
27-06-2020,Architecture,Other,USA,39947
22-07-2020,Architecture,Other,USA,24897
27-08-2020,Architecture,Other,USA,18696
13-09-2020,Architecture,Other,USA,"15,375"
21-10-2020,Architecture,Other,USA,"7,929"
06-11-2020,Architecture,Other,USA,"20,208"
02-12-2020,Architecture,Other,USA,"41,896"
26-01-2020,Architecture,Recognition,USA,1426
25-02-2020,Architecture,Recognition,USA,37599
10-03-2020,Architecture,Recognition,USA,27371
24-04-2020,Architecture,Recognition,USA,5423
17-05-2020,Architecture,Recognition,USA,3210
26-06-2020,Architecture,Recognition,USA,1279
11-07-2020,Architecture,Recognition,USA,18842
13-08-2020,Architecture,Recognition,USA,28948
26-09-2020,Architecture,Recognition,USA,29015
23-10-2020,Architecture,Recognition,USA,16333
14-11-2020,Architecture,Recognition,USA,35856
26-12-2020,Architecture,Recognition,USA,19318
24-01-2020,Architecture,Software,USA,11530
27-02-2020,Architecture,Software,USA,28055
03-03-2020,Architecture,Software,USA,17990
12-04-2020,Architecture,Software,USA,37458
23-05-2020,Architecture,Software,USA,32073
05-06-2020,Architecture,Software,USA,24921
13-07-2020,Architecture,Software,USA,1741
21-08-2020,Architecture,Software,USA,9483
21-09-2020,Architecture,Software,USA,20739
16-10-2020,Architecture,Software,USA,22693
13-11-2020,Architecture,Software,USA,2794
05-12-2020,Architecture,Software,USA,27614
11-01-2020,Architecture,Supplies,USA,36102
07-02-2020,Architecture,Supplies,USA,21562
27-03-2020,Architecture,Supplies,USA,6022
24-04-2020,Architecture,Supplies,USA,34990
11-05-2020,Architecture,Supplies,USA,6373
01-06-2020,Architecture,Supplies,USA,25543
20-07-2020,Architecture,Supplies,USA,11363
05-08-2020,Architecture,Supplies,USA,37047
27-09-2020,Architecture,Supplies,USA,9193
19-10-2020,Architecture,Supplies,USA,32813
15-11-2020,Architecture,Supplies,USA,18252
01-12-2020,Architecture,Supplies,USA,23684
02-01-2020,Architecture,Taxes,USA,16178
10-02-2020,Architecture,Taxes,USA,20629
03-03-2020,Architecture,Taxes,USA,14553
08-04-2020,Architecture,Taxes,USA,5158
11-05-2020,Architecture,Taxes,USA,35986
23-06-2020,Architecture,Taxes,USA,19135
12-07-2020,Architecture,Taxes,USA,1659
09-08-2020,Architecture,Taxes,USA,3562
27-09-2020,Architecture,Taxes,USA,14625
26-10-2020,Architecture,Taxes,USA,36769
04-11-2020,Architecture,Taxes,USA,35667
27-12-2020,Architecture,Taxes,USA,2168
10-01-2020,Architecture,Telecomm,USA,8846
14-02-2020,Architecture,Telecomm,USA,10670
27-03-2020,Architecture,Telecomm,USA,9323
20-04-2020,Architecture,Telecomm,USA,24304
17-05-2020,Architecture,Telecomm,USA,3756
19-06-2020,Architecture,Telecomm,USA,6974
13-07-2020,Architecture,Telecomm,USA,34352
27-08-2020,Architecture,Telecomm,USA,9249
15-09-2020,Architecture,Telecomm,USA,12469
06-10-2020,Architecture,Telecomm,USA,18290
16-11-2020,Architecture,Telecomm,USA,35330
13-12-2020,Architecture,Telecomm,USA,26079
19-01-2020,Architecture,Training,USA,12752
03-02-2020,Architecture,Training,USA,"25,324"
02-03-2020,Architecture,Training,USA,"1,689"
23-04-2020,Architecture,Training,USA,"4,235"
26-05-2020,Architecture,Training,USA,"21,824"
01-06-2020,Architecture,Training,USA,"7,290"
04-07-2020,Architecture,Training,USA,"11,903"
23-08-2020,Architecture,Training,USA,"2,445"
19-09-2020,Architecture,Training,USA,"25,851"
20-10-2020,Architecture,Training,USA,"35,258"
15-11-2020,Architecture,Training,USA,"30,832"
16-12-2020,Architecture,Training,USA,38037
28-02-2020,Architecture,Travel,USA,3643
27-03-2020,Architecture,Travel,USA,36444
12-04-2020,Architecture,Travel,USA,4085
11-05-2020,Architecture,Travel,USA,37058
26-06-2020,Architecture,Travel,USA,24379
02-07-2020,Architecture,Travel,USA,2605
05-08-2020,Architecture,Travel,USA,40073
12-09-2020,Architecture,Travel,USA,25433
02-10-2020,Architecture,Travel,USA,4875
13-11-2020,Architecture,Travel,USA,1477
26-06-2020,Business Intelligence,Administrative,USA,"12,014"
14-07-2020,Business Intelligence,Administrative,USA,"9,733"
06-08-2020,Business Intelligence,Administrative,USA,"2,767"
11-09-2020,Business Intelligence,Administrative,USA,"27,607"
17-10-2020,Business Intelligence,Administrative,USA,"-3,637"
19-11-2020,Business Intelligence,Administrative,USA,"13,608"
08-12-2020,Business Intelligence,Administrative,USA,"23,243"
12-01-2020,Business Intelligence,Employee Performance,USA,23671
28-02-2020,Business Intelligence,Employee Performance,USA,27627
13-03-2020,Business Intelligence,Employee Performance,USA,5368
01-04-2020,Business Intelligence,Employee Performance,USA,21175
16-05-2020,Business Intelligence,Employee Performance,USA,11234
21-06-2020,Business Intelligence,Employee Performance,USA,28850
04-07-2020,Business Intelligence,Employee Performance,USA,24854
18-08-2020,Business Intelligence,Employee Performance,USA,14665
16-09-2020,Business Intelligence,Employee Performance,USA,27587
21-10-2020,Business Intelligence,Employee Performance,USA,1544
01-11-2020,Business Intelligence,Employee Performance,USA,29248
06-12-2020,Business Intelligence,Employee Performance,USA,35060
10-01-2020,Business Intelligence,External Labor,USA,"49,450"
13-02-2020,Business Intelligence,External Labor,USA,"26,791"
02-03-2020,Business Intelligence,External Labor,USA,"41,193"
04-04-2020,Business Intelligence,External Labor,USA,"42,886"
23-05-2020,Business Intelligence,External Labor,USA,"11,941"
09-06-2020,Business Intelligence,External Labor,USA,"48,659"
12-07-2020,Business Intelligence,External Labor,USA,"18,259"
23-08-2020,Business Intelligence,External Labor,USA,"18,002"
07-09-2020,Business Intelligence,External Labor,USA,"40,857"
13-10-2020,Business Intelligence,External Labor,USA,"45,749"
27-11-2020,Business Intelligence,External Labor,USA,"16,984"
12-12-2020,Business Intelligence,External Labor,USA,"47,038"
25-01-2020,Business Intelligence,Hardware,USA,34475
23-02-2020,Business Intelligence,Hardware,USA,11749
16-03-2020,Business Intelligence,Hardware,USA,5094
17-04-2020,Business Intelligence,Hardware,USA,21888
10-05-2020,Business Intelligence,Hardware,USA,11669
02-06-2020,Business Intelligence,Hardware,USA,3958
08-07-2020,Business Intelligence,Hardware,USA,8944
05-08-2020,Business Intelligence,Hardware,USA,29789
24-09-2020,Business Intelligence,Hardware,USA,885
18-10-2020,Business Intelligence,Hardware,USA,3899
09-11-2020,Business Intelligence,Hardware,USA,1032
10-12-2020,Business Intelligence,Hardware,USA,23740
26-01-2020,Business Intelligence,Hardware Maintenance,USA,19392
05-02-2020,Business Intelligence,Hardware Maintenance,USA,9648
12-03-2020,Business Intelligence,Hardware Maintenance,USA,17944
08-04-2020,Business Intelligence,Hardware Maintenance,USA,8624
19-05-2020,Business Intelligence,Hardware Maintenance,USA,8624
04-06-2020,Business Intelligence,Hardware Maintenance,USA,30670
12-07-2020,Business Intelligence,Hardware Maintenance,USA,13956
15-08-2020,Business Intelligence,Hardware Maintenance,USA,20972
12-09-2020,Business Intelligence,Hardware Maintenance,USA,15762
27-10-2020,Business Intelligence,Hardware Maintenance,USA,37181
24-11-2020,Business Intelligence,Hardware Maintenance,USA,9920
14-12-2020,Business Intelligence,Hardware Maintenance,USA,1454
12-01-2020,Business Intelligence,Internal Labor,USA,"60,424"
27-02-2020,Business Intelligence,Internal Labor,USA,"62,979"
02-03-2020,Business Intelligence,Internal Labor,USA,"97,511"
25-04-2020,Business Intelligence,Internal Labor,USA,"63,612"
10-05-2020,Business Intelligence,Internal Labor,USA,"81,684"
25-06-2020,Business Intelligence,Internal Labor,USA,"63,006"
21-07-2020,Business Intelligence,Internal Labor,USA,"97,742"
25-08-2020,Business Intelligence,Internal Labor,USA,"77,487"
10-09-2020,Business Intelligence,Internal Labor,USA,"84,736"
06-10-2020,Business Intelligence,Internal Labor,USA,"87,311"
12-11-2020,Business Intelligence,Internal Labor,USA,"85,973"
21-12-2020,Business Intelligence,Internal Labor,USA,"1,01,174"
21-01-2020,Business Intelligence,Other,USA,1811
08-02-2020,Business Intelligence,Other,USA,3067
12-03-2020,Business Intelligence,Other,USA,22338
01-04-2020,Business Intelligence,Other,USA,16362
05-05-2020,Business Intelligence,Other,USA,10295
02-06-2020,Business Intelligence,Other,USA,33421
05-07-2020,Business Intelligence,Other,USA,18284
28-08-2020,Business Intelligence,Other,USA,27840
07-09-2020,Business Intelligence,Other,USA,305
16-10-2020,Business Intelligence,Other,USA,35675
13-11-2020,Business Intelligence,Other,USA,4984
18-12-2020,Business Intelligence,Other,USA,25307
02-01-2020,Business Intelligence,Recognition,USA,19473
19-02-2020,Business Intelligence,Recognition,USA,13568
26-03-2020,Business Intelligence,Recognition,USA,23180
02-04-2020,Business Intelligence,Recognition,USA,9008
25-05-2020,Business Intelligence,Recognition,USA,23563
06-06-2020,Business Intelligence,Recognition,USA,9003
14-07-2020,Business Intelligence,Recognition,USA,12989
15-08-2020,Business Intelligence,Recognition,USA,5129
24-09-2020,Business Intelligence,Recognition,USA,16827
19-10-2020,Business Intelligence,Recognition,USA,24171
11-11-2020,Business Intelligence,Recognition,USA,40001
25-12-2020,Business Intelligence,Recognition,USA,38200
13-01-2020,Business Intelligence,Software,USA,12452
16-02-2020,Business Intelligence,Software,USA,38290
02-03-2020,Business Intelligence,Software,USA,3044
12-04-2020,Business Intelligence,Software,USA,28306
17-05-2020,Business Intelligence,Software,USA,7074
16-06-2020,Business Intelligence,Software,USA,31773
28-07-2020,Business Intelligence,Software,USA,26635
12-08-2020,Business Intelligence,Software,USA,27514
12-09-2020,Business Intelligence,Software,USA,33895
18-10-2020,Business Intelligence,Software,USA,19115
28-11-2020,Business Intelligence,Software,USA,20954
27-12-2020,Business Intelligence,Software,USA,32400
08-07-2020,Business Intelligence,Software Maintenance,USA,"13,667"
10-01-2020,Business Intelligence,Supplies,USA,14220
19-02-2020,Business Intelligence,Supplies,USA,34020
13-03-2020,Business Intelligence,Supplies,USA,38997
23-04-2020,Business Intelligence,Supplies,USA,26977
15-05-2020,Business Intelligence,Supplies,USA,5709
28-06-2020,Business Intelligence,Supplies,USA,24491
09-07-2020,Business Intelligence,Supplies,USA,26083
02-08-2020,Business Intelligence,Supplies,USA,22812
05-09-2020,Business Intelligence,Supplies,USA,39065
21-10-2020,Business Intelligence,Supplies,USA,16762
06-11-2020,Business Intelligence,Supplies,USA,39563
19-12-2020,Business Intelligence,Supplies,USA,35500
20-01-2020,Business Intelligence,Telecomm,USA,4272
06-02-2020,Business Intelligence,Telecomm,USA,37857
13-03-2020,Business Intelligence,Telecomm,USA,21571
13-04-2020,Business Intelligence,Telecomm,USA,12050
22-05-2020,Business Intelligence,Telecomm,USA,20179
28-06-2020,Business Intelligence,Telecomm,USA,21682
13-07-2020,Business Intelligence,Telecomm,USA,24111
05-08-2020,Business Intelligence,Telecomm,USA,8979
24-09-2020,Business Intelligence,Telecomm,USA,36701
12-10-2020,Business Intelligence,Telecomm,USA,18321
15-11-2020,Business Intelligence,Telecomm,USA,25063
05-12-2020,Business Intelligence,Telecomm,USA,30779
22-01-2020,Business Intelligence,Training,USA,"8,096"
08-02-2020,Business Intelligence,Training,USA,"38,754"
14-03-2020,Business Intelligence,Training,USA,"34,053"
10-04-2020,Business Intelligence,Training,USA,"10,819"
23-05-2020,Business Intelligence,Training,USA,"27,587"
19-06-2020,Business Intelligence,Training,USA,"17,760"
06-07-2020,Business Intelligence,Training,USA,"18,119"
05-08-2020,Business Intelligence,Training,USA,"1,918"
06-09-2020,Business Intelligence,Training,USA,"11,421"
14-10-2020,Business Intelligence,Training,USA,"3,217"
21-11-2020,Business Intelligence,Training,USA,"14,723"
17-12-2020,Business Intelligence,Training,USA,"10,220"
22-01-2020,Business Intelligence,Travel,USA,28061
25-02-2020,Business Intelligence,Travel,USA,"34,006"
08-03-2020,Business Intelligence,Travel,USA,9819
18-04-2020,Business Intelligence,Travel,USA,20605
04-05-2020,Business Intelligence,Travel,USA,"23,187"
04-06-2020,Business Intelligence,Travel,USA,32443
04-07-2020,Business Intelligence,Travel,USA,4132
24-08-2020,Business Intelligence,Travel,USA,"26,055"
22-09-2020,Business Intelligence,Travel,USA,32353
12-10-2020,Business Intelligence,Travel,USA,20385
16-11-2020,Business Intelligence,Travel,USA,"7,364"
16-12-2020,Business Intelligence,Travel,USA,22653
10-01-2020,Core,Employee Performance,USA,24525
20-02-2020,Core,Employee Performance,USA,24262
17-03-2020,Core,Employee Performance,USA,36390
02-04-2020,Core,Employee Performance,USA,29070
14-05-2020,Core,Employee Performance,USA,36411
11-06-2020,Core,Employee Performance,USA,38529
05-07-2020,Core,Employee Performance,USA,29273
09-08-2020,Core,Employee Performance,USA,1886
10-09-2020,Core,Employee Performance,USA,18462
09-10-2020,Core,Employee Performance,USA,27190
23-11-2020,Core,Employee Performance,USA,3850
11-12-2020,Core,Employee Performance,USA,15821
26-01-2020,Core,Internal Labor,USA,"24,407"
06-02-2020,Core,Internal Labor,USA,"53,430"
07-03-2020,Core,Internal Labor,USA,"49,964"
05-04-2020,Core,Internal Labor,USA,"29,714"
03-05-2020,Core,Internal Labor,USA,"44,318"
07-06-2020,Core,Internal Labor,USA,"25,244"
11-07-2020,Core,Internal Labor,USA,"54,573"
01-08-2020,Core,Internal Labor,USA,"56,663"
21-09-2020,Core,Internal Labor,USA,"52,184"
26-10-2020,Core,Internal Labor,USA,"25,710"
21-11-2020,Core,Internal Labor,USA,"56,747"
11-12-2020,Core,Internal Labor,USA,"22,207"
16-01-2020,Core,Other,USA,4245
04-02-2020,Core,Other,USA,11997
19-03-2020,Core,Other,USA,10809
01-04-2020,Core,Other,USA,37832
13-05-2020,Core,Other,USA,30635
22-06-2020,Core,Other,USA,33111
01-07-2020,Core,Other,USA,22746
20-08-2020,Core,Other,USA,24589
21-09-2020,Core,Other,USA,2635
22-10-2020,Core,Other,USA,26297
09-11-2020,Core,Other,USA,4380
04-12-2020,Core,Other,USA,11462
10-01-2020,Core,Recognition,USA,29988
07-02-2020,Core,Recognition,USA,33786
14-03-2020,Core,Recognition,USA,36541
06-04-2020,Core,Recognition,USA,21219
23-05-2020,Core,Recognition,USA,36207
22-06-2020,Core,Recognition,USA,7978
28-07-2020,Core,Recognition,USA,37321
17-08-2020,Core,Recognition,USA,11587
06-09-2020,Core,Recognition,USA,14235
12-10-2020,Core,Recognition,USA,32228
24-11-2020,Core,Recognition,USA,28364
18-12-2020,Core,Recognition,USA,35719
23-01-2020,Core Infrastructure,Depreciation,Brazil,"36,464"
20-02-2020,Core Infrastructure,Depreciation,Brazil,"37,273"
14-03-2020,Core Infrastructure,Depreciation,Brazil,"42,516"
14-04-2020,Core Infrastructure,Depreciation,Brazil,"51,680"
17-05-2020,Core Infrastructure,Depreciation,Brazil,"32,302"
01-06-2020,Core Infrastructure,Depreciation,Brazil,"58,079"
24-07-2020,Core Infrastructure,Depreciation,Brazil,"34,064"
19-08-2020,Core Infrastructure,Depreciation,Brazil,"36,321"
03-09-2020,Core Infrastructure,Depreciation,Brazil,"42,467"
07-10-2020,Core Infrastructure,Depreciation,Brazil,"33,206"
14-11-2020,Core Infrastructure,Depreciation,Brazil,"50,722"
15-12-2020,Core Infrastructure,Depreciation,Brazil,"42,236"
08-01-2020,Core Infrastructure,Depreciation,Canada,"44,492"
26-02-2020,Core Infrastructure,Depreciation,Canada,"29,731"
02-03-2020,Core Infrastructure,Depreciation,Canada,"20,748"
10-04-2020,Core Infrastructure,Depreciation,Canada,"17,218"
05-05-2020,Core Infrastructure,Depreciation,Canada,"43,859"
14-06-2020,Core Infrastructure,Depreciation,Canada,"49,124"
05-07-2020,Core Infrastructure,Depreciation,Canada,"32,037"
15-08-2020,Core Infrastructure,Depreciation,Canada,"39,370"
28-09-2020,Core Infrastructure,Depreciation,Canada,"49,919"
14-10-2020,Core Infrastructure,Depreciation,Canada,"28,996"
14-11-2020,Core Infrastructure,Depreciation,Canada,"20,862"
05-12-2020,Core Infrastructure,Depreciation,Canada,"47,563"
11-01-2020,Core Infrastructure,Depreciation,Mexico,"23,846"
06-02-2020,Core Infrastructure,Depreciation,Mexico,"7,816"
17-03-2020,Core Infrastructure,Depreciation,Mexico,"16,107"
02-04-2020,Core Infrastructure,Depreciation,Mexico,"6,695"
18-05-2020,Core Infrastructure,Depreciation,Mexico,"20,039"
17-06-2020,Core Infrastructure,Depreciation,Mexico,"43,906"
